win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
0,1,1,-7,-18,-14694,-1187,-2380,184,-15,-15,-1,-1
0,0,0,-13,-18,-26489,-531,-10886,-23,-52,-25,1,-1
1,1,1,1,-7,31966,-4386,-22028,5,13,39,2,2
1,0,1,0,-6,-942,-2877,8710,80,-1,47,5,2
1,1,1,12,17,28454,2814,12835,15,-26,40,2,2
0,0,0,-14,-6,-15284,807,38235,-85,134,-28,-3,-2
0,0,1,-21,-39,-36384,-2397,-527,-1,-56,-16,-1,-1
0,1,1,-6,1,-3547,-2624,-27212,3,-128,4,-3,-1
0,0,1,-1,29,-23387,2202,6997,36,-20,-40,-1,-1
0,0,0,-7,-7,-21282,-1393,-128,16,3,-30,-1,-1
0,0,0,-14,-45,-18154,2678,3317,1,114,-7,-4,-1
1,0,1,6,2,16994,-9645,-11445,13,27,25,5,1
0,0,1,-9,-8,-9942,-9306,-8391,-53,72,-9,-2,-1
0,1,0,-9,-27,-15289,-3395,-23907,-15,4,14,-2,-1
0,1,0,-20,-42,-17946,-2669,10691,-41,-15,-14,-3,-1
0,1,0,-18,-22,-28938,3391,-7856,-36,-110,-27,-2,-1
0,0,1,4,18,-10559,5271,7860,26,-110,-26,1,2
0,0,1,-13,-23,-2249,-285,-25279,3,-55,-12,1,-1
0,0,0,-23,-35,-18850,-767,-7644,-17,57,-11,-1,-1
1,0,1,13,41,19241,2632,13453,32,-123,24,1,1
1,1,1,10,8,7532,550,-973,18,142,5,0,0
0,0,0,-19,-22,-29064,-1132,-6464,-55,-101,-19,-1,0
1,0,1,11,58,32259,-90,16127,17,-124,0,1,1
1,1,1,15,24,22557,3481,-6666,29,84,-16,3,1
0,1,0,-10,-4,-17693,4070,3077,35,-2,-41,-3,-1
1,1,1,16,26,29344,1172,-7354,28,20,18,3,1
0,0,0,-24,-24,-23897,-931,-5216,-4,14,-30,-1,-1
0,0,0,-9,9,-31949,-2833,-13190,-6,-41,-40,1,1
1,1,1,7,16,5567,736,17497,-72,89,12,-2,1
0,1,1,-16,-44,-4320,6086,-16884,29,23,11,-1,-1
1,1,1,10,10,9310,1283,-503,6,28,8,0,0
1,0,1,6,16,21059,-1274,-4863,13,24,25,3,1
0,0,1,-14,-23,-18264,-2365,-33183,31,-50,-9,1,-1
1,0,0,10,35,12373,-3773,4939,51,-78,-11,-1,1
1,0,1,17,34,11273,-2135,25672,-1,-11,31,2,1
0,1,1,-5,-17,-9980,266,16336,-15,-14,20,3,-2
1,0,0,7,15,-24143,2278,35137,-15,-83,-11,1,1
0,1,0,-14,-40,-24344,-455,-12564,-36,33,-5,-3,-1
0,1,1,7,-7,-5734,-1538,7986,-87,21,26,2,-1
1,1,1,11,39,13300,3138,18375,61,-36,7,0,1
0,0,0,-13,14,42646,-9831,-6544,18,54,-40,-6,-2
1,1,1,20,33,5963,12500,17318,7,43,34,0,-1
0,0,1,-8,-35,-10596,-2157,-17650,21,-63,-16,2,-1
1,1,0,9,1,5713,10874,-9278,9,-13,-5,1,1
0,1,0,-13,-27,-12362,-7434,-4113,-31,153,-20,-1,-1
0,1,1,-9,-14,16696,2300,-16058,-12,33,-4,4,-1
1,1,1,28,33,25772,566,8558,21,122,12,3,1
0,1,0,-11,-9,-7122,-108,-2859,-16,-88,-27,-2,0
1,1,1,3,10,7256,-1877,11138,-45,88,0,-1,-1
0,1,0,-14,-14,-18193,-5301,-12302,-14,-105,-10,-3,-1
1,0,1,26,24,22247,1008,8973,83,105,25,2,0
1,1,1,7,19,8356,-86,1024,-11,-66,3,4,1
0,0,0,-11,-15,-13418,85,-4644,-24,-52,-30,-2,0
1,0,1,13,19,9672,-109,2451,14,78,-2,2,0
1,1,1,13,19,-2295,4105,15039,48,49,32,1,1
1,1,1,9,20,3460,448,7347,2,-38,3,0,0
0,0,0,-10,-31,-12689,139,3843,-46,2,4,-1,0
0,0,0,-16,-21,-14896,-563,-5732,-6,-85,-12,-1,0
0,0,0,-22,-38,-32267,-1971,-13150,-29,-20,-16,-3,-1
0,1,0,-6,-16,-14477,1222,8097,-11,-57,-9,-1,-1
1,1,0,4,22,28,-1296,-11455,62,-31,15,-3,1
0,0,1,-6,-27,-27188,-3638,9586,-19,-36,-11,-2,0
0,1,1,-11,-12,-19996,1682,5053,7,2,-24,-1,-1
0,1,0,-16,-46,-20687,3480,19607,14,-49,-17,1,-2
0,0,0,-11,-17,-15861,1394,377,-4,-119,-16,-1,-1
0,0,0,-19,-16,-12382,-2229,-10803,-32,-57,-19,-1,0
0,1,0,-2,-4,613,-1085,-4884,46,-11,-24,-4,0
1,0,1,9,8,-33,11237,-5016,-21,-51,16,0,2
0,0,0,-19,-19,-10070,3270,-18163,-16,-84,-54,-3,-1
0,1,1,-4,-16,-7840,-7129,5891,-48,-148,36,2,0
0,1,0,-12,-17,-6048,1976,-28282,-19,62,-27,-2,-1
1,1,1,10,7,7951,-658,2880,-3,61,14,2,0
1,1,1,17,20,26386,9572,2008,25,28,26,3,1
1,0,1,10,13,23642,1428,8484,3,90,16,2,0
0,0,0,-7,-10,-25776,-113,-13437,30,291,-44,-3,0
1,0,1,15,30,19876,1154,2818,21,51,8,2,1
0,1,1,5,35,-2286,3236,-3304,-27,24,-10,-4,-2
1,1,0,13,13,-7992,-3617,14197,-4,113,15,-1,1
1,1,0,-1,4,-2381,-865,-3352,-39,-54,3,1,1
1,0,1,19,37,-9370,1301,19022,-5,-9,35,4,1
0,1,0,-7,-5,2210,1111,6180,-37,61,0,-2,-1
0,1,0,0,-45,-31070,-8629,-5613,-26,17,-10,-2,0
1,1,1,13,21,15634,3674,-2494,-58,-54,64,-1,1
0,0,0,-12,-25,-16200,80,-8826,-8,-27,-32,-2,-1
